Partner ID,Partner Type,Partner Name,Standard_Type,Description,Country,Location,Contact Person,Address,Status,Date Added,Date updated,By who?,Bank Account Number,Account Name,Bank name,Province - Branch
FNB-76,FNB_Restaurant,Atlantic Nyonya Cuisine by Aunty Ruby,Nyonya Restaurant,,Malaysia  ,Malacca,,,,,,,,,,
FNB-51,FNB_Restaurant,Atlantic Nyonya HQ,Nyonya Restaurant,,Malaysia  ,Malacca,,,,,,,,,,
HTL-08,HTL_Hotel,Au Lac Charner,4*,,Vietnam  ,Ho Chi Minh City,+84 28 3915 6666,"87-89-91 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, TP.HCM",,,,,8789919368,CONG TY TNHH MTV AU LAC CHARNER,ACB ,Ho Chi Minh - Sai Gon 
HTL-42,HTL_Hotel,Azerai La Residence Hue,5*,,Vietnam  ,Hue,+84 234 3837 475,"5 Le Loi Street, Hue City",,,,,0161000052501,CONG TY TNHH KHACH SAN KINH THANH,VIETCOMBANK ,Hue
HMS-01,HMS_Homestay,Ba Danh Homestay,Homestay,,Vietnam  ,Ben Tre,Mr. Si - 0989217902,"11D, 3 Hamlet, Nhon Thanh Commune, Ben Tre City, Ben Tre Province",,,,,0241004100498 ,HO KINH DOANH KHU DU LICH SINH THAI BA DANH,VIETCOMBANK,BEN TRE 
HTL-120,HTL_Hotel,Bach Suites Saigon,4*,,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
ATC-04,ATC_Attraction,Mua Cave,,,Vietnam  ,Ninh Binh,,,,,,,,,,
HTL-16,HTL_Hotel,Bako National Park,,,Malaysia  ,Kuching,+60 85 417 751,,,,,,,,,
ATC-05,ATC_Attraction,Bich Dong Pagoda,,,Vietnam  ,Ninh Binh,,,,,,,,,,
FNB-63,FNB_Restaurant,Bamboo tree,,,Laos  ,Luang Prabang,,,,,,,,,,
RST-05,RST_Resort,Bamboo Village Beach Resort & Spa,4*,,Vietnam  ,Mui Ne,Mrs Sương/  +84 918 891 628- number on website,"38 Nguyen Dinh Chieu, Ham Tien, PhanThiet, Binh Thuan Province, Vietnam",,,,,0071002995286,CONG TY CO PHAN LANG TRE MUI NE,VIETCOMBANK,Binh Thuan
RST-06,RST_Resort,Banyan Tree Lang Co,5*,,Vietnam  ,Hue,+84 234 3695 888 ,"Cu Du Village, Loc Vinh Commune
Phu Loc District, Thua Thien Hue Province, Vietnam",,,,,"117000143664
"," CONG TY TNHH LAGUNA VIET NAM BANYAN TREE
","VIETINBANK
",Da Nang
FNB-04,FNB_Restaurant,Barbecue Garden SG,BBQ Restaurant,,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
HTL-18,HTL_Hotel,Barong Villa Sidemen,Homestay,,Indonesia  ,Bali, +62 812 1456 3300,"Jalan Sidemen, Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia",,,,,,,,
ATC-06,ATC_Attraction,Borneo Cultures Museum,,,Malaysia  ,Kuching,,,,,,,,,,
GDE-59,GDE_Guide,Be Hien - Tra Su Forest ,Good Guide,Only VN guide,Vietnam  ,Chau Doc,,,,,,,,,,
FNB-84,FNB_Restaurant,Beirut Restaurant – Lebanese & Mediterranean Cuisine,Lebanese Restaurant & Shisha lounge,,Vietnam  ,Ho Chi Minh City,Hotline - 02839159999,"43 Đ. Trần Ngọc Diện, Thảo Điền, Thủ Đức, Hồ Chí Minh 800000, Vietnam",Approved,2025-07-29,Adi,,,,,
HTL-134,HTL_Hotel,Bel Marina Hoi An Resort,5*,,Vietnam  ,Hue,,,,,,,,,,
HMS-16,HMS_Homestay,Ben Tre Coco Lodge ,Homestay,,Vietnam  ,Ben Tre,,,,,,,,,,
FNB-18,FNB_Restaurant,Bia Hoi Lan Chin ,Local Vietnamese Restaurant,,Vietnam  ,Ha Noi,,,,,,,,,,
ATC-07,ATC_Attraction,Klias Wetlands ,,,Malaysia  ,Kota Kinabalu,,,,,,,,,,
ATC-08,ATC_Attraction,Kiulu White Water Rafting Centre,,,Malaysia  ,Kota Kinabalu,,,,,,,,,,
PRT-01,PRT_Partner_DMC,BiiG Holiday Group,,,Laos  ,,,,Main partner for Laos,,,,,,,
FNB-52,FNB_Restaurant,Bijan Bar & Restaurant,Malay Restaurant,,Malaysia  ,Kuala Lumpur,,,,,,,,,,
FNB-50,FNB_Restaurant,Bla Bla Bla,,,Malaysia  ,Kuching,,,,,,,,,,
FNB-106,FNB_Restaurant,Blank Lounge Landmark ,,,Vietnam  ,Ho Chi Minh City,,,,,,,,,,
HTL-09,HTL_Hotel,Bonsella Hotel,3*,,Vietnam  ,Ha Noi,+84 24 2283 8666,"3 Bao Khanh Street, Hoan Kiem District, Ha Noi",,,,,8605666888,CONG TY TNHH DAU TU VA KHACH SAN DONG A,BIDV,Hanoi - Quang Trung
RST-35,RST_Resort,Borei Angkor Resort & Spa,5*,,Cambodia  ,Siem Reap,"
+855 15 430 222","National Road 6, Banteay Chas, Siem Reap, Kingdom of Cambodia",,,,,,,,
ATC-09,ATC_Attraction,Mari Mari cultural village ,,,Malaysia  ,Kota Kinabalu,,,,,,,,,,
FNB-49,FNB_Restaurant,Borneo Delight,,,Malaysia  ,Kuching,,,,,,,,,,
FNB-24,FNB_Restaurant,Buffet Sen Tay Ho,Vietnamese Buffet,,Vietnam  ,Ha Noi,,,,,,,,,,
GDE-01,GDE_Guide,Bui Chung Hieu,,,Vietnam  ,Ho Chi Minh City,0765 660 703,,Banned,,,,00710836302,BUI CHUNG HIEU,TP Bank,
FNB-16,FNB_Restaurant,Bun Cha Dac Kim - Hang Manh branch,Local Vietnamese Restaurant,,Vietnam  ,Ha Noi,,,,,,,,,,
FNB-14,FNB_Restaurant,Café de l’Opera - Caravelle Sai Gon ,Cafe,,Vietnam  ,Ho Chi Minh City,Ms. Lý +84 327 529 549 ,,,,,,,,,
FNB-30,FNB_Restaurant,Cai Mam - Dao Duy Tu Branch,Vietnamese Restaurant,,Vietnam  ,Ha Noi,,,,,,,,,,
FNB-20,FNB_Restaurant,Cai Mam Hoi Vu,Vietnamese Restaurant,"Quite small space, adapted from an old house, big groups might have to sit in separate rooms",Vietnam  ,Ha Noi,,,,,,,,,,
HTL-10,HTL_Hotel,Calista Saigon Hotel,3*,,Vietnam  ,Ho Chi Minh City, 028 35218532,"247-249 Ly Tu Trong, Ben Thanh Ward, District 1",,,,,299368888,CN CTY CP VAN TAI VA TM XUAN TRUONG HAI TAI TP HCM,ACB,HCMC - Sai Gon 
CRS-03,CRS_Cruise,Calypso Cruise,4*,,Vietnam  ,Ha Long,Ms Mai Linh - 84 919283088,Ha Long,,,,,0011004109002,CONG TY CO PHAN NHUNG CANH BUOM PHUONG DONG,VIETCOMBANK ,Hanoi
RST-28,RST_Resort,Can Tho Ecolodge,4*,,Vietnam  ,Can Tho,Ms. Hang- 0912 419 877,"542, Area No 3, Ba Lang Ward, Cai Rang, Can Tho City, Vietnam",,,,,,,,
GDE-70,GDE_Guide,Cao Ngoc Dung  - Venus ,,,Vietnam  ,Hoi An,,,,,,,,,,
CRS-04,CRS_Cruise,Capella Cruise,5*,,Vietnam  ,Ha Long,+84 247 307 3886,"Unit 2010-A2, 20th Floor, Hanoi Aqua Central, Yen Phu str, Truc Bach, Ba Dinh dist, Hanoi city",,,,,0291138888888,Cong ty Co Phan Dau Tu Viet Star Cruise,Vietnam Military Commercial Joint Stock Bank,Bac Ninh Branch
HTL-111,HTL_Hotel,Capella Hanoi,5*,,Vietnam  ,Hanoi,,,,,,,,,,
HTL-31,HTL_Hotel,Caravelle  Hotel Saigon,5*,,Vietnam  ,Ho Chi Minh City,Mr. Tâm - +84 93 213 9321,"19-23 Lam Son Square, District 1",,,,,0071000734602, CTLD HUU HAN KS CHAINS CARAVELLE,VIETCOMBANK ,Ho Chi Minh
HMS-20,HMS_Homestay,Cat Tien Riverside,Homestay,,Vietnam  ,Cat Tien,,,,,,,,,,
CRS-57,CRS_Cruise,Catherine Cruises,5*,,Vietnam  ,Ha Long,,,,,,,,,,
FNB-17,FNB_Restaurant,Cau Go Vietnamese Cuisine,Vietnamese Restaurant,,Vietnam  ,Ha Noi,,,,,,,,,,
GDE-110,GDE_Guide,Cedhie - Intas,,,Philippines  ,,,,,,,,,,,
HTL-37,HTL_Hotel,Central Palace Hotel ,4*,,Vietnam  ,Ho Chi Minh City,Ms. Thao - 093 290 6291,"39 - 39A Nguyen Trung Truc, Ben Thanh, District 1, HCMC",,,,,0721000594733,CENTRAL PALACE,VIETCOMBANK ,Ho Chi Minh - Ky Dong
HTL-87,HTL_Hotel,Champton Hanoi Hotel,4*,,Vietnam  ,Ha Noi,Ms. Anna Hong +84  911 319 594,"130 Hang Bong, Hoan Kiem, Ha Noi",,,,,0011004238168,CTY TNHH DAU TU THUONG MAI VÀ DICH VU TONG HOP BAO NGAN,VIETCOMBANK,Hanoi - So Giao Dich
FNB-67,FNB_Restaurant,Changkran Khmer,Cambodian Restaurant,,Cambodia  ,Siem Reap,,,,,,,,,,
GDE-107,GDE_Guide,Chansamone Phoumesa - Biig Laos,,,Laos  ,Vientiane,+85620 55668061,,,,,,,,,
HMS-06,HMS_Homestay,Chay Lap Farmstay,Homestay,,Vietnam  ,Quang Binh,,"Chay Lap Village, Phong Nha Commune, Quang Binh Province",,,,,0311000732632, COONG TY TNHH OXALIS HOLIDAY,VIETCOMBANK ,Quang Binh
HMS-26,HMS_Homestay,Chez Cao Rice Field Ecolodge,Homestay,,Vietnam  ,Ninh Binh,,,,,,,,,,
FNB-93,FNB_Restaurant,Chickpea Eatery: Da Nang Vegan Restaurant and Vegan Cooking Class | Tiệm Chay Đà Nẵng,Vegetarian - Vegan Restaurant,,Vietnam  ,Da Nang,Hotline - 0366862489,"185 Đặng Vũ Hỷ, An Hải Đông, Sơn Trà, Đà Nẵng 550000, Vietnam",,,,,,,,
FNB-97,FNB_Restaurant,Chickpea Eatery: Vietnamese Vegan Restaurant & Hội An Vegan Cooking Class | Nhà Hàng Chay Hội An,Vegetarian - Vegan Restaurant,,Vietnam  ,Hoi An,Hotline - 0766731285,"86 Đ. Phan Chu Trinh, Phường Minh An, Hội An, Quảng Nam, Vietnam",,,,,,,,
HTL-106,HTL_Hotel,Chicland Danang Beach Hotel,4*,,Vietnam  ,Da Nang,,,,,,,,,,
ATC-10,ATC_Attraction,Batu Caves,,,Malaysia  ,Kuala Lumpur,,,,,,,,,,
PRT-02,PRT_Partner_DMC,Christinair - Cambodia ,,,Cambodia  ,,,,Main partner for Cambodia,,,,0100210034245,"CHRISTINAIR TOURS CO., LTD.","BANK OF AMERICA,N.A
NEW YORK, NY10038, UNITED STATES",New York - United States
FNB-03,FNB_Restaurant,Chu Ba BBQ Ho Thi Ky,Local Seafood,,Vietnam  ,Ho Chi Minh City,,,,,,,0906902755,Nguyen Thi Kim Giau,MB Bank,Hoi An
GDE-55,GDE_Guide,Chu Duc Dung  - MHP ,,,Vietnam  ,Ha Noi,0968936397,,,,,,,,,
HTL-38,HTL_Hotel,Cicilia City Hotel Saigon Center,4*,,Vietnam  ,Ho Chi Minh City,,,Banned,,,,112002805768,Cong ty TNHH Dau Tu va Thuong Mai Phuc Loc Thinh,Viettinbank,Gia Lai - Gia Lai
TRS-01,TRS_Transport_Company,Clown Car,,,Vietnam  ,,Mr. Tuan Anh - 0909381581,"C0.15 chung cư EhomeS, Phú Hữu, Quận 9, TP. Hồ Chí Minh",,,,,88811186,CONG TY TNHH CLOWN VIET NAM,ACB,Ho Chi Minh 
HTL-146,HTL_Hotel,Confetti Garden Hotel,3*,,Laos  ,Vang Vieng,,,,,,,,,,
FNB-09,FNB_Restaurant,Cooking Class Cu Chi,Vietnamese Restaurant,,Vietnam  ,Ho Chi Minh City,Mr Tan  +84 973502434,"107/7 Trân Van Cham , Ap 3, Phuoc Vinh An ,cu chi ,hcm",,,,,060083758700,CONG TY TNHH DVDL WESTEN ASIAN,Sacombank ,Ho Chi Minh - Cu Chi 
FNB-42,FNB_Restaurant,Crocodile Land Rest Stop,Vietnamese Restaurant,,Vietnam  ,Long Xuyen,,,,,,,,,,
FNB-78,FNB_Restaurant,d'LIONS Restaurant,Singapore-Malay Halal Restaurant,,Vietnam  ,Ha Noi,Hotline - 0983109292,"92 Đ. Lê Duẩn, Văn Miếu – Quốc Tử Giám, Hoàn Kiếm, Hà Nội, Vietnam",Approved,2025-07-29,Adi,,,,,
GDE-77,GDE_Guide,Dang Quang Son  - Venus ,,,Vietnam  ,Hoi An,,,,,,,,,,
GDE-03,GDE_Guide,Dao Duc Duy Khuong,Support Guide,,Vietnam  ,Ho Chi Minh City,,,,,,,19028226304021,Dao Duc Duy Khuong,Techcombank,HCM - HCM 
FNB-33,FNB_Restaurant,Dao Tien restaurant,Vietnamese Restaurant,,Vietnam  ,Hoi An,,,,,,,,,,
GDE-42,GDE_Guide,Diem Quynh  - MHP ,,,Vietnam  ,Ha Noi,038 6696372,,,,,,,,,
GDE-29,GDE_Guide,Dinh Thi Thuy Linh,PL TL,,Vietnam  ,Ho Chi Minh City,0328323395,,,,,,,,,
INT-08,INT_Interpreter,Dinh Thi Thuy Linh,,,,Ho Chi Minh City,0328 323 395,,,,,,,,,
GDE-41,GDE_Guide,Do Bich Phuong  - MHP ,,,Vietnam  ,Ha Noi,,,Banned,,,,,,,
GDE-38,GDE_Guide,Do Duc Phuong - MHP ,,,Vietnam  ,Ha Noi,0823447639,,,,,,,,,
HST-12,HST_Hostess,Do Ngoc Tram,,,Vietnam  ,Ho Chi Minh City,Mr. Bảo - 0776140819,,,,,,,,,
GDE-37,GDE_Guide,Do Van Hau - MHP,,,Vietnam  ,Ha Noi,,,,,,,,,,
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,,,Vietnam  ,Hoi An,,,,,,,,,,
GDE-64,GDE_Guide,Doan Quan Oanh  - Venus ,,,Vietnam  ,Hoi An,,,,,,,,,,
HTL-96,HTL_Hotel,Dolce by Wyndham Hanoi Golden Lake,5*,,Vietnam  ,Ha Noi,+84-24-3365-9999,"B7 Giang Vo, Ba Dinh, Hanoi",,,,,,,,
CRS-05,CRS_Cruise,Dora Cruise,5*,,Vietnam  ,Ha Long,+84 243 929 1555,"Level 3, Hai An Group building, No.25, Lane 1 Lam Ha street, Long Bien, Hanoi.",,,,,1922666888,Cong ty TNHH Dau tu phat trien Quoc te Hai An,ACB,PGD Bai Chay
CRS-58,CRS_Cruise,Doris Cruises,5*,,Vietnam  ,Ha Long,,,,,,,,,,
HMS-24,HMS_Homestay,Dream Hill Homestay,Homestay,,Vietnam  ,Cat Tien,,,,,,,,,,
PRT-03,PRT_Partner_DMC,DTH Travel Malaysia,,,Malaysia  ,,,,Main partner for Malaysia,,,,014011250790,DTH TRAVEL SDN BHD,MALAYAN BANKING BERHAD,Swiff code: MBBEMYKL
PRT-29,PRT_Partner_DMC,DTH Travel Singapore,,,Singapore  ,,,,Main partner for Singapore,,,,,,,
GDE-74,GDE_Guide,Duong Duc Dai Duong  - Venus ,,,Vietnam  ,Hoi An,,,,,,,,,,
GDE-05,GDE_Guide,Duong Thai Binh,Support Guide,,Vietnam  ,Ho Chi Minh City,0844442826,,,,,,9695827,DUONG THAI BINH,ACB,HCM Branch - PGD Bau Cat
HTL-40,HTL_Hotel,Eden Star Saigon Hotel,4*,,Vietnam  ,Ho Chi Minh City,+84 983 845 668,38 Bui Thi Xuan St – Ben Thanh Ward – District 01 – HCMC,,,,,601704060181937,CONG TY TNHH EDEN HOTEL SAIGON,VIB Bank,
CRS-06,CRS_Cruise,Elite of the Seas Cruise,5*,,Vietnam  ,Ha Long,+84 24 39335419,"3rd Floor, PaxSky Building, 70 Hoa Ma Street, Hai Ba Trung District, Hanoi, Vietnam",,,,,0701183838383 ,CTY DAI DUONG XANH,MB Bank,Ha Noi - Dien Bien Phu
RST-07,RST_Resort,Emeralda Ninh Binh resort,4*,,Vietnam  ,Ninh Binh,+84 2293 658 333 ,"Van Long Reserve, Gia Van Commune, Gia Vien District, Ninh Binh Province, Vietnam",,,,,0221000002159,Cong ty Co Phan Du Lich Tan Phu,VCB,Ninh Binh - Ninh Binh
PRT-04,PRT_Partner_DMC,EMIC Travel,,,Vietnam  ,,Mr. Ha - 091.6.976.731, 101 Cua Dai Street - Hoi An City,Banned,,,,56610000168887,CONG TY TNHH EMIC TRAVEL,BIDV,Quang Nam - Hoi An
PRT-05,PRT_Partner_DMC,Emily Visa,,,Vietnam  ,,,,Main partner for VN visa,,,,455647,Nguyen Thi Vuong,ACB,Ho Chi Minh City - Cat Lai
CRS-34,CRS_Cruise,Emperor Cruise,5*,,Vietnam  ,Ha Long,+84 24 3927 3475,"456 Lạc Long Quân, Xuân La, Tây Hồ, Hà Nội",,,,,,,,
FNB-53,FNB_Restaurant,Envi Skydining ,,,Malaysia  ,Kuala Lumpur,,,,,,,,,,
HTL-36,HTL_Hotel,EQ Kuala Lumpur,5* ,,Malaysia  ,Kuala Lumpur,+60 327 897 777,"Equatorial Plaza
Jalan Sultan Ismail
50250 Kuala Lumpur
Malaysia",,,,,,,,
CRS-07,CRS_Cruise,Era Cruise,5*,,Vietnam  ,Ha Long,Ms. Tam - 0982051987,"No. 110 Tue Tinh St.,
Hai Ba Trung Dist, Hanoi.",,,,,26121888888,CONG TY CO PHAN THUONG MAI VA DAU TU DU THUYEN QUOC TE HTC,ACB,Hanoi - Thang Long
CRS-59,CRS_Cruise,Erina Cruise,5*,,Vietnam  ,Ha Long,,,,,,,,,,
PRT-06,PRT_Partner_DMC,Exemplary Voyages,,,Sri Lanka,,,,Main partner for Sri Lanka,,,,1019022876,Exemplary Holdings Pte Ltd,UOB Plaza,SWIFT Code - UOVBSGSG
INT-14,INT_Interpreter,Filip Tran,,,,Ho Chi Minh City,0868 011 504,,,,,,,,,
RST-08,RST_Resort,Flamingo Cat Ba ,5*,,Vietnam  ,Cat Ba,Ms Ngoc- 0942938893,"18 Group, Cat Ba Town, Cat Hai District, Hai Phong City, Viet Nam",,,,,6096699999,CONG TY CO PHAN TAP DOAN FLAMINGO,MB Bank,Hanoi - Thanh Xuan
HTL-115,HTL_Hotel,Flower Garden Hotel,4*,,Vietnam  ,Hanoi,,,,,,,,,,
HMS-21,HMS_Homestay,Forest Side Eco Lodge,Homestay,,Vietnam  ,Cat Tien,,,,,,,,,,
FNB-59,FNB_Restaurant,Fullmoon buffet,,,Laos  ,Luang Prabang,,,,,,,,,,
RST-09,RST_Resort,Furama resort,5*,,Vietnam  ,Da Nang,Ms Duyen- 84-989 004 431,"103 – 105 Vo Nguyen Giap Street, Khue My Ward, Ngu Hanh Son District, Danang City, Vietnam",,,,,025704076999999,Cong ty Co phan Khu Du Lich Bac My An,HD bank,Da Nang Branch
HTL-43,HTL_Hotel,Fusion Original Saigon Centre,5*,,Vietnam  ,Ho Chi Minh City,+84 283 622 2265,"65 Le Loi, Street, District 1, HCMC",,,,,116002884140,Cong ty TNHH Fusion Pasteur,Vietinbank,Gia Lai - Pleiku
PRT-13,PRT_Partner_DMC,Gairah Scuba Indo Jungle Life,,,Indonesia  ,,,,Main partner for Bali,,,,1755349148,PT. GAIRAH SCUBA INDO,BANK NEGARA INDONESIA (BNI),RENON BRANCH
GDE-91,GDE_Guide,Ganie - DTH Malaysia ,,,Malaysia  ,,,,,,,,,,,
CRS-52,CRS_Cruise,Garden Bay Classic,4*,,Vietnam  ,Ha Long,,,,,,,,,,
CRS-25,CRS_Cruise,Garden Bay Legend Cruise,4*,,Vietnam  ,Ha Long,+84 985 873 537 -Mr Tom,"49 Lo Su street ,Hoan Kiem Dis,Hanoi City, Vietnam",,,,,,,,
CRS-64,CRS_Cruise,Genesis Luxury Regal,5*,,Vietnam  ,Ha Long,,,,,,,,,,
CRS-19,CRS_Cruise,Genesis Regal Cruise,5*,,Vietnam  ,Ha Long,+84-974 985 391,No.19 Tuan Chau International Marina,,,,,,,,
GDE-56,GDE_Guide,Giang  - Mr.Mushroom ,Good Guide,,Vietnam  ,Cu Chi,,,,,,,,,,
FNB-29,FNB_Restaurant,Giang Restaurant ,Vietnamese Restaurant,,Vietnam  ,Ha Noi,,,,,,,,,,
HTL-117,HTL_Hotel,GM Premium Hotel Hanoi,4*,,Vietnam  ,Hanoi,,,,,,,,,,
CRS-65,CRS_Cruise,Golden Cruise 9999,,,Vietnam  ,Ha Long,,,,,,,,,,
