Partner ID,Partner Type,Partner Name,Date,Group Number,Feedback Type,Feedback Message,What was done?
HTL-39,HTL_Hotel,Peridot Gallery Classic Boutique Hotel,2024-01-30,W113,Good,"very very nice, amazing breakfast and great service all around. Fresh, quality hotel
Pool not heated. Lots of nice local restaurants nearby, bia hoi, cha ca Thang Long, pho Bat Dan, coffee shops and very nice, hidden speakeasy cocktail bar (Liquid Store)
take higher category of room with views (Grand Deluxe above)",
HTL-31,HTL_Hotel,Caravelle  Hotel Saigon,2024-01-30,W113,Good,"very nice, everyone impressed by the standard and location",
HTL-03,HTL_Hotel,Allegro Hoi An,2024-01-30,W113,Good,"very nice, everyone impressed. Dinner at the hotel was delicious, great service too. Only the
hotel transfer in remains a bit of a problem
in case of bad weather",
GDE-65,GDE_Guide,Vo Huu Sinh  - Venus ,2024-01-30,w113,Good,"great guide and his route for the bicycle tour, even though we had to go around the popular paddies north of city",
GDE-21,GDE_Guide,Vo Hoang Hung,2024-01-30,W113,Neutral,"wasn't particularly helpful with these electric cars, he took Vam Xang staff story as true",
FNB-70,FNB_Restaurant,SH Garden Dong Khoi,2024-01-30,W113,Good,"great presentation, tastes great, great service, had live music. A bit loud at the restaurant as it had 2 groups for tet parties, but it is was sooo good. They have very reasonable free flow option if booked ahead (not available for direct orders)",
FNB-47,FNB_Restaurant,Rice Field restaurant,2024-01-30,W113,Good,"food was good, nice presentation, but slow service and the soup was not edible for most 
 (minced crab and jute leaf soup)",
FNB-36,FNB_Restaurant,Little Faifo,2024-01-30,W113,Good,"restaurant was good, but it used to be a better restaurant I think.",
FNB-28,FNB_Restaurant,Hanoi Garden ,2024-01-30,W113,Bad,"distaster. Place, style, service, microvawe in front of client. DO NOT USE AT ALL THAT PLACE",
FNB-27,FNB_Restaurant,Luk Lak ,2024-01-30,W113,Good,very nice,
FNB-12,FNB_Restaurant,Quan Bui Central ,2024-01-30,W113,Good,"very good food,
passion fruit custard
(dessert) was voted the best single food item the group had, good access from big bus
a mess with drinks bill but it got sorted",
FNB-05,FNB_Restaurant,Hoa Tuc - Hai Ba Trung branch,2024-01-30,W113,Good,very nice very good as always,
CRS-29,CRS_Cruise,Athena Luxury Cruise,2024-01-30,W113,Bad,"older and looks tired, wouldn't give it 5*, Has jacuzzi on the top deck but not heated, food was average for the 5* boats in Halong",
CRS-29,CRS_Cruise,Athena Luxury Cruise,2024-01-30,W113,Good,Their staff was very nice and Ms Hannah (cruise manager was very good too),
HTL-13,HTL_Hotel,Peridot Grand Luxury Boutique,2024-02-12,L1572,Good,"highly rated by guests, windy at the skybar",
GDE-34,GDE_Guide,Tran Trung Duc (Trump) - MHP ,2024-02-12,L1572,Good,"very nice and friendly, good English",
FNB-17,FNB_Restaurant,Cau Go Vietnamese Cuisine,2024-02-12,L1572,Good,"very nice, service seems to be improving",
CRS-19,CRS_Cruise,Genesis Regal Cruise,2024-02-14,L1572,Good,"imressive cruise, nice rowing boats (bright cave) and kayak route",
RST-07,RST_Resort,Emeralda Ninh Binh resort,2024-02-15,L1572,Good,very nice,
HTL-03,HTL_Hotel,Allegro Hoi An,2024-02-16,L1572,Good,very nice,
FNB-35,FNB_Restaurant,Anh Trang Quan,2024-02-16,L1572,Good,"food is good but too local for group, they didn't eat much",
PRT-28,PRT_Partner_DMC,Red Bridge Cooking Class Hoi An,2024-02-17,L1572,Good,"ery nice with great venue, excellent chef, service, staff with a bit too much food served and a noisy old boat",
GDE-70,GDE_Guide,Cao Ngoc Dung  - Venus ,2024-02-20,L1659,Neutral,"Misscommunication from our side & guide about: lunch, time to start My Son & Hoi AN tour",Ngan contact chi Anh
RST-40,RST_Resort,Sofitel Sentosa Singapore Resort & Spa,2024-02-26,L1638,Good,"guests said OK, but after staying at Six Senses in Phuket it was rather underwhelming",
RST-19,RST_Resort,Pandanus Resort Mui Ne,2024-03-02,W137,Good,"great food and service at the theme dinners in buffet style, lunch a la carte would take up to 60minutes wait, just need to be aware of longer service if groups opt for a la carte or many different drinks. 
 Spa was very efficient and very good, conference room set up very nice. 
Gala dinner very nice, but be aware that if the service is booked until 21:30 it really stops  21:30 sharp, no extensions possible on the spot. ",
HTL-47,HTL_Hotel,Hotel Grand Saigon,2024-03-02,W137,Good,"all good, good breakfast",
HTL-47,HTL_Hotel,Hotel Grand Saigon,2024-03-02,W137,Good,"all good, good breakfast",
GDE-21,GDE_Guide,Vo Hoang Hung,2024-03-02,W137,Good,"looks a bit shy and quiet, highly rated by guests. Good wwith small group, not with bigger",
GDE-10,GDE_Guide,Nguyen Ngoc Han,2024-03-02,W137,Bad,"Truly sitting guide, shown no interest in being active in any other way than talking with drivers etc. Not proactive, didn't want to talk to the guests when TL asked her if she wants to share stories, didn't want to say goodbye to the group at the end of the tour.",
FNB-69,FNB_Restaurant,Khe Food Garden,2024-03-02,W137,Bad,not recommended after the renovations. They change to buffet style. Way too loud and looking empty. Still have the performance on the stage,
HTL-56,HTL_Hotel,Jovia Hotel,2024-03-05,L1768,Bad,arrange DBL room instead of TWN,Trang contact Sales - Ms. Dung
HTL-25,HTL_Hotel,La Siesta Premium Hang Be Hotel,2024-03-06,L1717,Good,also approved by the guests,
HTL-13,HTL_Hotel,Peridot Grand Luxury Boutique,2024-03-06,L1717,Good,very much approved by the guests,
GDE-02,GDE_Guide,Vo Hoang Thanh Hai (Danny),2024-03-06,L1717,Good,"very professional, huge knowledge, supportive and well organised",
HTL-82,HTL_Hotel,Silverland Ben Thanh,2024-03-09,W159,Bad,arrange DBL room instead of TWN,
HTL-39,HTL_Hotel,Peridot Gallery Classic Boutique Hotel,2024-03-12,W159,Bad,they gave TL sheet with prices per room. Plus they didn't update rooming list,
GDE-69,GDE_Guide,Le Xuan Duc  - Venus ,2024-03-12,W108,Neutral,"I can give him 7/10. English not perfect, knowledge good. Somehow i didn't feel him. But should other test him. ",
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2024-03-12,W108,Good,linh very good professional guide. Very active. Only missing logotypes of client in the bus,
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2024-03-12,W159,Good,ms.linh - pro 10/10,
FNB-29,FNB_Restaurant,Giang Restaurant ,2024-03-12,W159,Bad,"place was nice but portions very small, service pretty slow. Not good for start of the group",
FNB-16,FNB_Restaurant,Bun Cha Dac Kim - Hang Manh branch,2024-03-12,W159,Good,"very nice, amazing food and design",
CRS-08,CRS_Cruise,La Casta Cruise ,2024-03-12,W159,Good,Their staff was very nice and Ms Hannah (cruise manager was very good too),
CRS-08,CRS_Cruise,La Casta Cruise ,2024-03-12,W108,Good,all good. Ha Long still look very destroyed. DON'T BOOK rooms 201. Next to the engine. Disaster to be there. ,
RST-11,RST_Resort,Green Bay Resort Phu Quoc,2024-03-14,L1732,Good,amazing hotel with a bit underwhelming food at the restaurant,
HTL-51,HTL_Hotel,Hoi An Historic Hotel,2024-03-14,L1732,Good,amazing hotel with a bit underwhelming food at the restaurant,
GDE-64,GDE_Guide,Doan Quan Oanh  - Venus ,2024-03-14,L1732,Good,"Mr. Oanh - his English is good but not 100% great, appreciate his initiative a lot, suggestions to visit Hoi An early and then go to My Son, local places he would point on the bike tour etc. ",
HMS-28,HMS_Homestay,Tam Coc Rice Fields homestay,2024-03-18,L1768,Bad,room not very clean and damp,Suong contact sale person
PRT-13,PRT_Partner_DMC,Gairah Scuba Indo Jungle Life,2024-03-27,L1787,Bad,Guest got the wrong room - Mistake from booking admin ,Lukasz Jan contact Ms. Leew. Guest moved to proper rooms on the next day and had extra dinner
GDE-02,GDE_Guide,Vo Hoang Thanh Hai (Danny),2024-03-27,W159,Good,10/10 great as always,
FNB-12,FNB_Restaurant,Quan Bui Central ,2024-03-27,W159,Good,guests said the best meal of the whole tour,
HTL-41,HTL_Hotel,Hanoi Esplendor Hotel & Spa,2024-04-06,L1743,Good,"nice hotel, friendly staff, good BF, good option for TL and small group",
HTL-05,HTL_Hotel,Apricot Hotel,2024-04-06,L1743,Good,"all good, no problem",
FNB-26,FNB_Restaurant,Truong An Ninh Binh,2024-04-06,L1743,Neutral,"crowded with tourist, food is ok, not great",
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2024-04-12,L1410,Good,spoken highly of Linh for trying to tell them everything over google translate,
GDE-34,GDE_Guide,Tran Trung Duc (Trump) - MHP ,2024-04-15,L1450,Bad,Duc let 2 pax ride on 1 cyclo,Trang contact anh Minh
GDE-01,GDE_Guide,Bui Chung Hieu,2024-04-16,L1846,Good,"English, explaination, flexibility",
GDE-01,GDE_Guide,Bui Chung Hieu,2024-04-16,L1846,Bad,"got lost in the alleys in D3 (following google maps the guest said), bought ticket for himself at the Palace, and was short of cash to get tickets so the guest have borrowed him 100k for tickets",Ngan contact Hieu BC
GDE-57,GDE_Guide,Linh - Mr.Mushroom ,2024-04-22,L1450,Bad,guide picked another guests up from Saigon and do all the tour with our guests,Trang contact Mr Tan
HTL-79,HTL_Hotel,SAPA VISTA HOTEL,2024-04-25,L1477,Bad,"Rooms are dirty: the sink & bathroom were full of soap scum, hair in the shower, the bedding is not clean

Have to come back hotel at 11:00pm
","Ngan + Suong contacted Sapa Vista
Adi sent official complaint email"
HTL-61,HTL_Hotel,Le Jardin Hotel & Spa,2024-04-25,W152,Good,"good, very clean, friendly, nice breakfast, nice coffee shop at the ground floor/ lobby",
HTL-79,HTL_Hotel,SAPA VISTA HOTEL,2024-04-26,W202,Bad,"few rooms with coackroaches, some alive some dead, not cleaned earlier",Ban Sapa Vista
GDE-35,GDE_Guide,Nguyen Anh Duc - MHP ,2024-04-26,L1466,Bad,"friendly with good E, but d idn't explain anything about the place, don't know bicycle route, lack of experience",Suong contact Minh
FNB-26,FNB_Restaurant,Truong An Ninh Binh,2024-04-26,L1466,Bad,"old and not good quality bicycle, lunch in Truong An restaurant so so, place crowded with tourists",Suong contact Minh
FNB-16,FNB_Restaurant,Bun Cha Dac Kim - Hang Manh branch,2024-04-26,W152,Bad,not as good as before,
FNB-19,FNB_Restaurant,Spice Garden Tam Coc,2024-04-27,W152,Good,"very nice, touristy but definitely better with flavors and cleanliness than Truong An restaurant",
HTL-21,HTL_Hotel,TTC Hotel Can Tho,2024-05-01,W152,Good,good hotel for 4* standard. The AC is old and not working properly in all the rooms. Some rooms had to be changed because AC was too noisy/weak. Very helpful front desk,
FNB-44,FNB_Restaurant,Sao Hom Restaurant,2024-05-01,W152,Good,"very nice food, but it took maybe 35 minutes before they served the starters",
FNB-01,FNB_Restaurant,5ku Station Thai Van Lung,2024-05-02,W152,Good,"good, the best dinner on the tour",
FNB-46,FNB_Restaurant,Hoang Tam Vinhome,2024-05-03,W152,Bad,"not recommended, food presentation is great but it lacks taste. Grilled beef and shrimps were good, but banh xeo, fried rice, spring rolls and sauces not as good",
FNB-45,FNB_Restaurant,Quan An Bac Hien,2024-05-04,W152,Good,"very nice local dinner. Not all dishes great, nice experience of sitting in a place that super busy with locals only. Toilets are not nice and no VAT invoice though",
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2024-05-07,L1382,Good,"20/10 she helped a lot during tour, also had some good ideas how to run North Part better",
HTL-51,HTL_Hotel,Hoi An Historic Hotel,2024-05-08,L1382,Good,all good,
HTL-07,HTL_Hotel,Sanouva Saigon Hotel,2024-05-08,L1382,Good,all good,
HTL-07,HTL_Hotel,Sanouva Saigon Hotel,2024-05-08,L1382,Good,All Good,
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2024-05-09,L1382,Good,"10/10 knowledge best guide ever, good english",
FNB-34,FNB_Restaurant,Y Thao Garden,2024-05-09,L1382,Bad,"food so so, on table there was reservation for Venus Travel info, not MYA",
GDE-05,GDE_Guide,Duong Thai Binh,2024-05-11,L1844,Good,10/10 good,
CRS-02,CRS_Cruise,Aspira Cruise,2024-05-20,W181,Bad,"Eng guide on boat English not good, Food also not much and old, taste so so. Old Kayak. Tender took almost 1hour => suspended right now and not offer them",
RST-33,RST_Resort,Munduk Sari Resort,2024-06-18,L1833,Bad,rooms has a lot of mold,Linh contact Lew
PRT-05,PRT_Partner_DMC,Emily Visa,2024-07-01,W202,Bad,No one show up to the group and than it took few minutes to show up and guys was in panic,Suong and Trang contact Emily. Emily showed a screenshot proving the mistake came from the airport. She also offered us a $1/pax discount as compensation.
HTL-26,HTL_Hotel,Rivora Heights,2024-07-03,L1719,Bad,"hotel is being built but they didn't inform before. Group came, it's noisy and dusty",
CRS-19,CRS_Cruise,Genesis Regal Cruise,2024-07-03,L1746,Bad," Services on the cruise the food is very average, they played super loud music for the sunset party (guest asked to turn the volume down). Car came late - unprofessional tranfer service caused guests missed scenic flight in Ha Long , and also sales gave us wrong information about timing. waiting lobby has dirty windows","Suong contact Genesis
Not use anymore - from 03 July"
PRT-06,PRT_Partner_DMC,Exemplary Voyages,2024-07-11,L1719,Good,"Ms. Edyta and her companions enjoyed their trip and they also expressed a desire to return. However, they noted organizational issues, particularly with guide selection. Their driver-guide was hard to understand and not very knowledgeable, leading to misunderstandings and lack of proactive communication about daily plans => Overall a nice person but lacks the temperament of a guide.",Lukasz K will contact Justyna about the guide
RST-32,RST_Resort,Xcape Resort ,2024-08-01,L1803,Good,"Clean rooms with AC, all with access to small splash pool (shallow one) and a several more deluxe (larger) rooms in a small bungalows. Staff is nice and very friendly, food is very good. (all meals and tours come as a package 3D2N). The resort is a bit further (10min walk?) from the river crossing to the park, but they will always ferry you to the boat station on the back of their pick up trucks ",
RST-31,RST_Resort,Tekoma Resort Taman Negara,2024-08-01,L1803,Good,"2nd best option to stay at. They have private rooms and rundown hotel rooms. Decent pool. Closer to the river crossing, you can walk to there in 5-7 mins",
PRT-03,PRT_Partner_DMC,DTH Travel Malaysia,2024-08-01,L1803,Bad,"Kinabalu Park Day Tour
- not recommended they say. about 4hrs drive from Kota Kinabalu to reach the park Then you do short trek and canopy walk, lunch. You can go to the hot springs pools for 1hr. Then 3.5hrs to drive back. Too much driving they say for what it offers. Their opinion might be biased by previous great experiences in Bako and Taman Negara. ",
HTL-95,HTL_Hotel,The Face Suites,2024-08-01,L1803,Bad,"The check-in was lengthy as they couldn't find the booking and it took them a couple of searches and going through all guests passports to finally find it. 
Elevators and lobby are very crowded as plenty of the apartments are being rented as AirBnb units.  Also very busy outside with long queues of pickup/drop off vehicles and security constantly hurrying all of the drivers. Finding your driver might be a little bit of a challenge if you're not having a guide. 
Breakfast is served in the building next doors (Face Styles KL), takes some time at the restaurant and again you need to use the overcrowded lifts, so you cannot do it in 30minutes.",
HTL-95,HTL_Hotel,The Face Suites,2024-08-01,L1803,Good,"the rooms are huge (83sqm!), location is great and there's an infinity pool on 51st floor, overlooking KL Tower and Petronas.",
HTL-11,HTL_Hotel,Hilton Kuching,2024-08-01,L1803,Good,Guests said the food is amazing and they have possibly had their best dinner ever at this hotel. The pool was renovated at the time of their stay but hotel gave all guests pool access at Pullman next doors. They were surprised with average rating of this hotel because they mentioned it was extra nice,
GDE-94,GDE_Guide,Susan - DTH Malaysia ,2024-08-01,L1803,Good,"local expert, know lots",
GDE-88,GDE_Guide,Stevie - DTH Malaysia ,2024-08-01,L1803,Good,"Stevie was a master - he had been tourguiding for 41years (now 62), been to plenty of countries worldwide and knows half the population of KL it seems. Everywhere we went he would greet other guides, restaurant owners, shopkeepers etc. Great guide.",
GDE-105,GDE_Guide,Xcape Resort guide - Taman Negara,2024-08-01,L1803,Neutral,"was friendly and ok, but a little to shy and couldn't explain everything well. ",
FNB-72,FNB_Restaurant,Aras KL Tower,2024-08-01,L1803,Good,"The famous KL Tower has new operator and is now called Aras, offers international and local buffet in a revolving restaurant 290m above the ground. There is also observation deck and outside walking experience on top of the tower, but you get all the views having lunch already. Going to other floors of the tower is subject to separate entry fees. Good food options, tea and coffee included in the buffet but no water and no alcohol available (same for lunch and dinner)",
FNB-52,FNB_Restaurant,Bijan Bar & Restaurant,2024-08-01,L1803,Good,"Fine dining Malay restaurant with mouthwatering food - usually included in Chinatown by Night tours by DTH, it is not a street food experience. Smart casual dress code recommended, no flip flops. Great food. Highly recommended.",
HTL-30,HTL_Hotel,The George Penang by The Crest Collection,2024-08-05,L1879,Bad,"The George said that to guests that our partner/us has booked for them TWN room. Guests said that they want 1 bed, so in the end hotel connected 2 beds and put up an extra mattress to make it a ""king"" bed.They also said our partner booked just 1 BF for 2pax and our guests were asked to pay for 1 BF",
HTL-38,HTL_Hotel,Cicilia City Hotel Saigon Center,2024-08-08,L1875,Bad,"wrong arrange room - mess with DBL & Twn, shower drainage, water run to the room.
AC works a bit then if off itself - another room. Another room has problem with light switch. Worst BF. Rooms are not clean",suspend - 08/08 decision by Lukasz K 
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2024-08-09,L1875,Good,excellent as always,
GDE-41,GDE_Guide,Do Bich Phuong  - MHP ,2024-08-09,L1875,Neutral,"she's young, good contact with customer but lack of knowledge",
FNB-33,FNB_Restaurant,Dao Tien restaurant,2024-08-09,L1875,Good,nice lunch,
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2024-08-15,L1881,Bad,"did not know route, got lost on the way to the restaurant which is a private house.
In general father complained that Khoi was rude during the bridge and restaurant issue.","Suong contact Ms Anh, The next tour day change to another guide"
GDE-01,GDE_Guide,Bui Chung Hieu,2024-08-15,L1881,Neutral,"Guide wasn’t waiting at the gate but group met him at the parking
guide during Saigon City tour wasn't active, bought private stuff when go on the tour",Remind him and all guides about not buying personal stuffs during the tour.
HTL-60,HTL_Hotel,Le Jardin Hotel Haute Couture ,2024-08-20,L1881,Bad,AC not working well for guests,
PRT-27,PRT_Partner_DMC,Oxalis Tour ,2024-08-27,L1844,Good,"Phong Nha & Paradise Cave Tour in general was good, Just 1 small issue, remember to take water to the Paradise cave",
PRT-26,PRT_Partner_DMC,Jungle boss,2024-08-27,L1844,Good,Elephant Cave & Ma Da Valle - Great tour and even greater guide – Ms. Trang. Group enjoyed this tour a lot,
HTL-55,HTL_Hotel,Huong Giang Hotel & Spa,2024-08-27,L1844,Neutral,"nice but old hotel, Chu has some bugs in room",
GDE-63,GDE_Guide,Doan Dang Khoi - Venus ,2024-08-27,L1844,Neutral,"great about the knowledge but I sometimes he has problem with understanding the people, what they want, how much to talk, when to talk, etc",
GDE-61,GDE_Guide,Trang - Vam Xang ,2024-08-27,L1844,Good,great as usual. Almost as good as Ngan and Linh,
GDE-44,GDE_Guide,Le Thi Thuy Linh  - MHP ,2024-08-27,L1844,Good,good as usual,
GDE-31,GDE_Guide,Trang - Jungle Boss,2024-08-27,L1844,Good,"10/10 1st time she worked with TL, so on the beginning she was nervous a bit. Group loved her and gave her a nickname “Misia”",
GDE-30,GDE_Guide,Huong - Oxalis ,2024-08-27,L1844,Good,8/10 nice guide,
FNB-73,FNB_Restaurant,Nhà hàng du lịch anh Giang - Delta from Ms. Kieu lunch,2024-08-27,L1844,Bad,"food serve very slow, lack of food",
FNB-34,FNB_Restaurant,Y Thao Garden,2024-08-27,L1844,Neutral,"menu with Venus logo, not MakeYourAsia",Suong contact chi Anh
FNB-26,FNB_Restaurant,Truong An Ninh Binh,2024-08-27,L1844,Good,food better than last time,
